index,value
11017,204.9949245911522
11018,204.9377346861477
11019,204.8940254533363
11020,204.8480691580637
11021,204.8106651275906
11022,204.77547122034625
11023,204.7431594585784
11024,204.71526494578967
11025,204.6881920078529
11026,204.66262164858307
11027,204.63138530197955
11028,204.5980054550849
11029,204.55853036731236
11030,204.52374530219427
11031,204.4907339957667
11032,204.448568670213
11033,204.40917254425617
11034,204.37693855810235
11035,204.335205752074
11036,204.31198814571917
11037,204.28235586850408
11038,204.24831082577236
11039,204.21331781983287
11040,204.1651704404305
11041,204.11532812905247
11042,204.0743551398388
11043,204.04299946919107
11044,204.01412010636005
11045,203.986818226332
11046,203.96905052197755
11047,203.946068085224
11048,203.92620088737712
11049,203.9143540266218
11050,203.905531029894
11051,203.8972939314881
11052,203.87934956099625
11053,203.8718464765869
11054,203.8664040776583
11055,203.85267706315616
11056,203.8450081510298
11057,203.8421380128825
11058,203.8402287611657
11059,203.83111084694156
11060,203.82071418175835
11061,203.8182173766446
11062,203.81029508318463
11063,203.79566567350423
11064,203.77148749873183
11065,203.7475794471556
11066,203.73825140615665
11067,203.7208748658107
11068,203.7042819888184
11069,203.69861125938695
11070,203.69084167731037
11071,203.6841761473099
11072,203.68038876682223
11073,203.6637207529868
11074,203.65544350971948
11075,203.65186880689183
11076,203.6526884108093
11077,203.6531369964434
11078,203.64519230357288
11079,203.64204251814223
11080,203.6385767897314
11081,203.6479061929329
11082,203.64295373755115
11083,203.63597345218992
11084,203.6243546705254
11085,203.60963313857127
11086,203.59578382525407
11087,203.56880679252183
11088,203.5379817811644
11089,203.5047358887968
11090,203.47609818083032
11091,203.44311012984716
11092,203.4228307504632
11093,203.4005119284642
11094,203.3886553860172
11095,203.37843164416176
11096,203.3715267506456
11097,203.3405610477756
11098,203.3100113755194
11099,203.33473809511452
11100,203.38529605558065
11101,203.45055336612893
11102,203.5203160431757
11103,203.5883523484933
11104,203.6526990063347
11105,203.7206891518596
11106,203.7856105086228
11107,203.8464442610756
11108,203.8812519046394
11109,203.8932807698542
11110,203.8854965734524
11111,203.88812377605424
11112,203.8884934440609
11113,203.8882197329089
11114,203.8851344598241
11115,203.8662986033625
11116,203.8464895963713
11117,203.8221363672748
11118,203.81445938385932
11119,203.808960555057
11120,203.8032749294239
11121,203.78054697212585
11122,203.7495401750793
11123,203.72117002356603
11124,203.6862716678534
11125,203.662426362499
11126,203.65777209590496
11127,203.6236767453006
11128,203.5716117892076
11129,203.57091107084108
11130,203.6000858095228
11131,203.63515673701752
11132,203.66528564484705
11133,203.70301791281432
11134,203.7584571726282
11135,203.8053945006675
11136,203.86063216548516
11137,203.9031907411163
11138,203.9332314356677
11139,203.96102973902825
11140,203.9897369956923
11141,204.03616447341471
11142,204.08637299344352
11143,204.1264930753374
11144,204.1683213895808
11145,204.2122623274072
11146,204.2424595400304
11147,204.27885105852664
11148,204.31429347578373
11149,204.33869392188248
11150,204.35480530610923
11151,204.37123071594715
11152,204.38994003678332
11153,204.42352764405084
11154,204.45182720577216
11155,204.46498985272487
11156,204.47539894682143
11157,204.4745305438587
11158,204.47429925533217
11159,204.4852496618444
11160,204.4890362389775
11161,204.4845684253362
11162,204.48864700967763
11163,204.50588664172497
11164,204.53608309752295
11165,204.56192192155217
11166,204.6070020811088
11167,204.63287144097023
11168,204.6467486257976
11169,204.657062510293
11170,204.67334295659748
11171,204.6965714975024
