model,ratio_pred_in_true_alarm_patches,ratio_pred_in_no_true_alarm_patches,mean_lead_time_patch,mean_prognosis_error,ratio_pred_in_true_alarm_patches_clean,ratio_pred_in_no_true_alarm_patches_clean,mean_lead_time_patch_clean,mean_prognosis_error_clean,ratio_pred_in_true_alarm_patches_qf,ratio_pred_in_no_true_alarm_patches_qf,mean_lead_time_patch_qf,mean_prognosis_error_qf,ratio_pred_in_true_alarm_patches_clean_qf,ratio_pred_in_no_true_alarm_patches_clean_qf,mean_lead_time_patch_clean_qf,mean_prognosis_error_clean_qf,n_pred_alarm_patches,n_pred_alarm_patches_qf,n_true_alarm_patches,n_quality_rejected,mse_all_patches,rmse_true_alarm_patch,rmse_no_true_alarm_patch,rmse_pred_alarm_patch,rmse_no_pred_alarm_patch,rmse_all_patches,mae_true_alarm_patch,mae_no_true_alarm_patch,mae_pred_alarm_patch,mae_no_pred_alarm_patch,mae_all_patches,tp_window,fp_window,tn_window,fn_window,tp_window_clean,fp_window_clean,tn_window_clean,fn_window_clean,tp_window_qf,fp_window_qf,tn_window_qf,fn_window_qf,tp_window_clean_qf,fp_window_clean_qf,tn_window_clean_qf,fn_window_clean_qf
Timer-XL-MS,0.0,0.022355507088331516,0.28413284132841327,5.05,0.0,0.08086785009861933,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,78,0,1852,78,0.3327998082655755,0.6538252609104057,0.480716917967475,0.31073123449576456,0.5664482726999264,0.5610370060206196,0.5232622806526033,0.4014041380637865,0.2517665765224359,0.46203948596804917,0.4575898693275831,0,41,2486,1159,0,41,613,278,0,0,2527,1159,0,0,654,278
Timer-XL-Partial15-MS,0.0,0.021810250817884406,0.2988929889298893,4.583333333333333,0.0,0.07889546351084813,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,90,0,1852,90,0.323873346787351,0.6449781951392961,0.4758477560987296,0.35639079817295716,0.5588098556789066,0.553867447872196,0.5155995458647338,0.3977058219285672,0.27626961036964703,0.456144859475209,0.45175289734295165,0,40,2487,1159,0,40,614,278,0,0,2527,1159,0,0,654,278
CNNLSTM-MS,0.0,0.022355507088331516,6.697416974169742,6.208103130755064,0.0,0.08086785009861933,1.9077490774907748,6.273062730627307,0.0,0.0,0.0,,0.0,0.0,0.0,,2281,0,1852,2281,0.5554899985396092,0.7758193994327167,0.6733571294153219,0.7900180024007496,0.6029500921462398,0.7187129525072102,0.5893055013722993,0.490557547943326,0.56275453881076,0.4884378663557421,0.534427103976441,0,41,2486,1159,0,41,613,278,0,0,2527,1159,0,0,654,278
TimeXer-MS,0.0,0.011450381679389313,0.0,0.0,0.0,0.04142011834319527,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,30,0,1852,30,0.3150058733382459,0.640729667311451,0.46637601992914995,0.012187652568120126,0.5507671360950868,0.5463836894033318,0.511230588117001,0.39126449302082617,0.010455254448784722,0.44952570513858137,0.4459521529083335,0,21,2506,1159,0,21,633,278,0,0,2527,1159,0,0,654,278
GTProger-MS,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,13,0,1852,13,0.31443036841377675,0.6396150901990122,0.465808831424888,0.0015619810644942997,0.5478061491489958,0.5458796233255834,0.5099777840457156,0.3908615855553591,0.0012694529997996794,0.4469954304669598,0.44542341806677715,0,0,2527,1159,0,0,654,278,0,0,2527,1159,0,0,654,278
GTProgerV13-MS,0.0,0.022355507088331516,0.3210332103321033,5.5,0.0,0.08086785009861933,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,53,0,1852,53,0.32114699387837903,0.6458980830527011,0.47145430616066497,0.20263337705630227,0.5569715658869142,0.5518766326237502,0.5150170340221231,0.3948516257759962,0.163872600051592,0.45421439577804945,0.4500396493934857,0,41,2486,1159,0,41,613,278,0,0,2527,1159,0,0,654,278
Timer-XL-MS-DIFF,0.0,0.010422380691168404,0.0,,0.0,0.037549407114624504,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,19,0,1863,19,0.3093696873375729,0.6344590508882293,0.46114149228621343,0.006781004665015414,0.5439855794964874,0.5412164837499335,0.5057011749993662,0.3864017703022865,0.006474436466937491,0.4436715681592752,0.44141797469694366,0,19,2500,1167,0,19,635,278,0,0,2519,1167,0,0,654,278
Timer-XL-Partial15-MS-DIFF,0.0,0.009325287986834888,0.0,,0.0,0.03359683794466403,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,36,0,1863,36,0.3091486272851195,0.634249287514352,0.46141438820705283,0.0037696224317196585,0.5463406981082768,0.5410415774559826,0.5052925486201529,0.38621558184646043,0.003141170009298043,0.44531706536385524,0.44099847278849863,0,17,2502,1167,0,17,637,278,0,0,2519,1167,0,0,654,278
Timer-XL-MS-DIFF-p1,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,1863,0,0.31054889017140985,0.635328716031111,0.46219179187998427,,0.5422385779862244,0.5422385779862244,0.5070278090377851,0.3874401219013192,,0.4425686502819762,0.4425686502819762,0,0,2519,1167,0,0,654,278,0,0,2519,1167,0,0,654,278
Timer-XL-MS-DIFF-p3,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0,0,1863,0,0.31028888566593793,0.6352743481857565,0.46155131962938967,,0.5419719355163083,0.5419719355163083,0.5068763434656796,0.38675333380978943,,0.44215201473002136,0.44215201473002136,0,0,2519,1167,0,0,654,278,0,0,2519,1167,0,0,654,278
