mdl,rt,recall,FAR,lead_min
raw,r0p01,0.44554455445544555,0.01090909090909091,1.8870967741935485
diff,r0p01,0.6534653465346535,0.03345454545454545,3.1451612903225805
diff2,r0p01,0.6435643564356436,0.15854545454545454,3.193548387096774
union,r0p01,0.7227722772277227,0.16290909090909092,3.532258064516129
Time-MoE,r0p01,0.39603960396039606,0.010181818181818183,1.5
Sundial,r0p01,0.33663366336633666,0.004363636363636364,1.3064516129032258
CNNLSTM,r0p01,0.009900990099009901,0.0,0.0
DiPCALSTM,r0p01,0.04950495049504951,0.0,0.29032258064516125
LSTMGRU,r0p01,0.0297029702970297,0.0007272727272727272,0.14516129032258063
STAConvBiLSTM,r0p01,0.0297029702970297,0.0007272727272727272,0.29032258064516125
TCNTransformer,r0p01,0.04950495049504951,0.0014545454545454545,0.14516129032258063
raw,r0p05,0.6039603960396039,0.015272727272727273,2.467741935483871
diff,r0p05,0.6039603960396039,0.03345454545454545,2.6129032258064515
diff2,r0p05,0.693069306930693,0.12581818181818183,3.2419354838709675
union,r0p05,0.7326732673267327,0.13163636363636363,3.2419354838709675
Time-MoE,r0p05,0.39603960396039606,0.010181818181818183,1.5
Sundial,r0p05,0.33663366336633666,0.004363636363636364,1.3064516129032258
CNNLSTM,r0p05,0.0594059405940594,0.0,0.14516129032258063
DiPCALSTM,r0p05,0.07920792079207921,0.0007272727272727272,0.14516129032258063
LSTMGRU,r0p05,0.009900990099009901,0.0,0.0
STAConvBiLSTM,r0p05,0.36633663366336633,0.02909090909090909,1.5483870967741935
TCNTransformer,r0p05,0.18811881188118812,0.008,0.4838709677419355
raw,r0p1,0.6336633663366337,0.01309090909090909,2.661290322580645
diff,r0p1,0.6435643564356436,0.02690909090909091,2.8064516129032255
diff2,r0p1,0.7128712871287128,0.10618181818181818,3.290322580645161
union,r0p1,0.7821782178217822,0.11345454545454546,3.483870967741936
Time-MoE,r0p1,0.39603960396039606,0.010181818181818183,1.5
Sundial,r0p1,0.33663366336633666,0.004363636363636364,1.3064516129032258
CNNLSTM,r0p1,0.039603960396039604,0.0,0.14516129032258063
DiPCALSTM,r0p1,0.07920792079207921,0.0007272727272727272,0.14516129032258063
LSTMGRU,r0p1,0.04950495049504951,0.0,0.0967741935483871
STAConvBiLSTM,r0p1,0.45544554455445546,0.04,1.8870967741935485
TCNTransformer,r0p1,0.38613861386138615,0.012363636363636363,1.064516129032258
raw,r0p25,0.5841584158415841,0.016,2.467741935483871
diff,r0p25,0.6336633663366337,0.02327272727272727,2.661290322580645
diff2,r0p25,0.7227722772277227,0.08363636363636363,3.3387096774193545
union,r0p25,0.7821782178217822,0.088,3.435483870967742
Time-MoE,r0p25,0.39603960396039606,0.010181818181818183,1.5
Sundial,r0p25,0.33663366336633666,0.004363636363636364,1.3064516129032258
CNNLSTM,r0p25,0.06930693069306931,0.0007272727272727272,0.0967741935483871
DiPCALSTM,r0p25,0.09900990099009901,0.0007272727272727272,0.1935483870967742
LSTMGRU,r0p25,0.06930693069306931,0.0,0.1935483870967742
STAConvBiLSTM,r0p25,0.45544554455445546,0.012363636363636363,1.7903225806451615
TCNTransformer,r0p25,0.49504950495049505,0.010181818181818183,1.5483870967741935
raw,r0p5,0.6435643564356436,0.02109090909090909,2.661290322580645
diff,r0p5,0.6336633663366337,0.01309090909090909,2.661290322580645
diff2,r0p5,0.6831683168316832,0.07927272727272727,2.903225806451613
union,r0p5,0.7623762376237624,0.08072727272727273,3.3387096774193545
Time-MoE,r0p5,0.39603960396039606,0.010181818181818183,1.5
Sundial,r0p5,0.33663366336633666,0.004363636363636364,1.3064516129032258
CNNLSTM,r0p5,0.0891089108910891,0.0,0.14516129032258063
DiPCALSTM,r0p5,0.15841584158415842,0.002909090909090909,0.435483870967742
LSTMGRU,r0p5,0.04950495049504951,0.0007272727272727272,0.14516129032258063
STAConvBiLSTM,r0p5,0.5148514851485149,0.013818181818181818,2.080645161290323
TCNTransformer,r0p5,0.44554455445544555,0.010181818181818183,1.6451612903225805
raw,r1p0,0.693069306930693,0.020363636363636365,2.8548387096774195
diff,r1p0,0.6732673267326733,0.016727272727272726,2.9516129032258065
diff2,r1p0,0.7128712871287128,0.07490909090909091,3.096774193548387
union,r1p0,0.7920792079207921,0.08072727272727273,3.435483870967742
Time-MoE,r1p0,0.39603960396039606,0.010181818181818183,1.5
Sundial,r1p0,0.33663366336633666,0.004363636363636364,1.3064516129032258
CNNLSTM,r1p0,0.1188118811881188,0.002909090909090909,0.435483870967742
DiPCALSTM,r1p0,0.09900990099009901,0.0,0.1935483870967742
LSTMGRU,r1p0,0.0594059405940594,0.0,0.3870967741935484
STAConvBiLSTM,r1p0,0.5346534653465347,0.013818181818181818,2.274193548387097
TCNTransformer,r1p0,0.44554455445544555,0.029818181818181817,1.5483870967741935
