mdl,rt,recall,FAR,lead_min,n_pos,n_neg
raw,r0p01,0.9388471177944863,0.035736290819470114,7.451612903225806,1995,1623
diff,r0p01,0.9548872180451128,0.04374614910659273,8.85483870967742,1995,1623
diff2,r0p01,0.9548872180451128,0.17067159581022798,9.629032258064516,1995,1623
union,r0p01,0.9634085213032582,0.17621688231669747,9.870967741935484,1995,1623
Time-MoE,r0p01,0.9283208020050125,0.019100431300061615,6.387096774193548,1995,1623
Sundial,r0p01,0.9233082706766917,0.019100431300061615,5.758064516129032,1995,1623
CNNLSTM,r0p01,0.8817042606516291,0.02279728897104128,3.532258064516129,1995,1623
DiPCALSTM,r0p01,0.8867167919799499,0.022181146025878003,3.629032258064516,1995,1623
LSTMGRU,r0p01,0.8842105263157894,0.02341343191620456,3.629032258064516,1995,1623
STAConvBiLSTM,r0p01,0.8872180451127819,0.02341343191620456,3.67741935483871,1995,1623
TCNTransformer,r0p01,0.8791979949874686,0.02649414664202095,2.8548387096774195,1995,1623
raw,r0p05,0.9488721804511279,0.03758471965495995,8.274193548387098,1995,1623
diff,r0p05,0.9528822055137844,0.04313000616142945,8.612903225806452,1995,1623
diff2,r0p05,0.9604010025062657,0.1392483056069008,9.580645161290322,1995,1623
union,r0p05,0.9674185463659147,0.14540973505853358,9.725806451612902,1995,1623
Time-MoE,r0p05,0.9283208020050125,0.019100431300061615,6.387096774193548,1995,1623
Sundial,r0p05,0.9233082706766917,0.019100431300061615,5.758064516129032,1995,1623
CNNLSTM,r0p05,0.8832080200501253,0.024645717806531114,3.67741935483871,1995,1623
DiPCALSTM,r0p05,0.887719298245614,0.024029574861367836,3.774193548387097,1995,1623
LSTMGRU,r0p05,0.8832080200501253,0.022181146025878003,3.483870967741936,1995,1623
STAConvBiLSTM,r0p05,0.9182957393483709,0.0529882932840419,5.419354838709677,1995,1623
TCNTransformer,r0p05,0.8957393483709273,0.015403573629081947,3.82258064516129,1995,1623
raw,r0p1,0.9598997493734336,0.03265557609365373,8.806451612903226,1995,1623
diff,r0p1,0.9553884711779449,0.04004929143561306,8.661290322580646,1995,1623
diff2,r0p1,0.9619047619047619,0.11829944547134935,9.580645161290322,1995,1623
union,r0p1,0.9704260651629073,0.12630930375847196,9.870967741935484,1995,1623
Time-MoE,r0p1,0.9283208020050125,0.019100431300061615,6.387096774193548,1995,1623
Sundial,r0p1,0.9233082706766917,0.019100431300061615,5.758064516129032,1995,1623
CNNLSTM,r0p1,0.8832080200501253,0.02341343191620456,3.532258064516129,1995,1623
DiPCALSTM,r0p1,0.887719298245614,0.024645717806531114,3.82258064516129,1995,1623
LSTMGRU,r0p1,0.8862155388471178,0.02279728897104128,3.774193548387097,1995,1623
STAConvBiLSTM,r0p1,0.9348370927318296,0.0807147258163894,6.870967741935484,1995,1623
TCNTransformer,r0p1,0.9218045112781955,0.024645717806531114,5.709677419354839,1995,1623
raw,r0p25,0.9523809523809523,0.03450400492914356,8.467741935483872,1995,1623
diff,r0p25,0.9573934837092731,0.036968576709796676,8.564516129032258,1995,1623
diff2,r0p25,0.9649122807017544,0.09550215650030808,9.629032258064516,1995,1623
union,r0p25,0.9714285714285714,0.10227972889710413,9.774193548387098,1995,1623
Time-MoE,r0p25,0.9283208020050125,0.019100431300061615,6.387096774193548,1995,1623
Sundial,r0p25,0.9233082706766917,0.019100431300061615,5.758064516129032,1995,1623
CNNLSTM,r0p25,0.8857142857142857,0.024645717806531114,3.67741935483871,1995,1623
DiPCALSTM,r0p25,0.8882205513784461,0.02649414664202095,3.725806451612903,1995,1623
