mdl,rt,MSE_all,MSE_onset
raw,r0p01,0.2368589339312166,0.27804431738331914
diff,r0p01,0.08716276352060959,0.1335701672360301
diff2,r0p01,0.15871398500166833,0.1704074820736423
union,r0p01,0.13017718447372317,0.13540145300794393
Time-MoE,r0p01,0.11455293861217797,0.20121331908740103
Sundial,r0p01,0.1374242565361783,0.22977599292062223
CNNLSTM,r0p01,0.4227365095332249,0.30021789118243997
DiPCALSTM,r0p01,0.42361797078028796,0.29255589942219523
LSTMGRU,r0p01,0.423557642270157,0.2984835100333588
STAConvBiLSTM,r0p01,0.4229609288534559,0.2937974782201969
TCNTransformer,r0p01,0.4050041748054136,0.349361897634691
raw,r0p05,0.13095290341880172,0.17836876213550568
diff,r0p05,0.07470643322449178,0.12125112698413432
diff2,r0p05,0.11914900824194774,0.13725347525905818
union,r0p05,0.10151517926715314,0.12290672748349607
Time-MoE,r0p05,0.11455293861217797,0.20121331908740103
Sundial,r0p05,0.1374242565361783,0.22977599292062223
CNNLSTM,r0p05,0.42310797327577765,0.2995755590916071
DiPCALSTM,r0p05,0.42400119678580733,0.2958171922987875
LSTMGRU,r0p05,0.4232657531571396,0.29648957120734865
STAConvBiLSTM,r0p05,0.32046537159411087,0.267294128793275
TCNTransformer,r0p05,0.2764106310637637,0.3109411968144257
raw,r0p1,0.10254650987917557,0.14176157128531486
diff,r0p1,0.06417059921659529,0.10234151704935357
diff2,r0p1,0.10045522503787652,0.12629045522771776
union,r0p1,0.08650169183965772,0.10891813872149214
Time-MoE,r0p1,0.11455293861217797,0.20121331908740103
Sundial,r0p1,0.1374242565361783,0.22977599292062223
CNNLSTM,r0p1,0.42337073672903486,0.29800223555943717
DiPCALSTM,r0p1,0.4246326992918438,0.301501240909514
LSTMGRU,r0p1,0.42404358698508193,0.29431105082508735
STAConvBiLSTM,r0p1,0.2629745022265644,0.4473895455355369
TCNTransformer,r0p1,0.18596507030331824,0.21563980839152563
raw,r0p25,0.09261898958357051,0.1564566045999527
diff,r0p25,0.0539774373464752,0.09319590026279911
diff2,r0p25,0.08159106801031157,0.09644608508097008
union,r0p25,0.07044625090202317,0.08892823097994551
Time-MoE,r0p25,0.11455293861217797,0.20121331908740103
Sundial,r0p25,0.1374242565361783,0.22977599292062223
CNNLSTM,r0p25,0.423133963360437,0.3044474070031027
DiPCALSTM,r0p25,0.4258231055016881,0.30319804190063765
LSTMGRU,r0p25,0.4242581188452848,0.2968711414834551
STAConvBiLSTM,r0p25,0.07441645088570988,0.14151361195203924
TCNTransformer,r0p25,0.11864337816255231,0.17826460696360785
raw,r0p5,0.0730301471776329,0.1114981496357359
diff,r0p5,0.05069176768301986,0.09404007869306952
diff2,r0p5,0.07097359775798395,0.09249002323485911
union,r0p5,0.06371903145918623,0.08621298911748454
Time-MoE,r0p5,0.11455293861217797,0.20121331908740103
Sundial,r0p5,0.1374242565361783,0.22977599292062223
CNNLSTM,r0p5,0.423868320744312,0.30862598587226814
DiPCALSTM,r0p5,0.4287330895380402,0.3043565128291731
LSTMGRU,r0p5,0.4239633001352298,0.299882205590957
STAConvBiLSTM,r0p5,0.07257848140106386,0.143642247350011
TCNTransformer,r0p5,0.1293212748624866,0.168745752415542
raw,r1p0,0.06387379835359752,0.10390382522018626
diff,r1p0,0.048287167452307454,0.09705354346487732
diff2,r1p0,0.06481695891125128,0.07204649591585621
union,r1p0,0.058426696341484785,0.0809263001428917
Time-MoE,r1p0,0.11455293861217797,0.20121331908740103
Sundial,r1p0,0.1374242565361783,0.22977599292062223
CNNLSTM,r1p0,0.4242498628313984,0.31157337170737914
DiPCALSTM,r1p0,0.42661166503307174,0.29598943732691485
LSTMGRU,r1p0,0.42464119131272904,0.2905805576127791
STAConvBiLSTM,r1p0,0.06327814983445344,0.11660383760385115
TCNTransformer,r1p0,0.13045946357355556,0.18298769918212376
