mdl,rt,recall,FAR,lead_min,n_events_anticipated
raw,r0p01,0.44554455445544555,0.01090909090909091,8.08695652173913,23
diff,r0p01,0.6534653465346535,0.03345454545454545,9.964285714285715,28
diff2,r0p01,0.6435643564356436,0.15854545454545454,10.071428571428571,28
union,r0p01,0.7227722772277227,0.16290909090909092,10.821428571428571,28
Time-MoE,r0p01,0.39603960396039606,0.010181818181818183,7.428571428571429,21
Sundial,r0p01,0.33663366336633666,0.004363636363636364,7.764705882352942,17
CNNLSTM,r0p01,0.009900990099009901,0.0,3.0,1
DiPCALSTM,r0p01,0.04950495049504951,0.0,5.571428571428571,7
LSTMGRU,r0p01,0.0297029702970297,0.0007272727272727272,6.0,3
STAConvBiLSTM,r0p01,0.0297029702970297,0.0007272727272727272,6.6000000000000005,5
TCNTransformer,r0p01,0.04950495049504951,0.0014545454545454545,4.800000000000001,5
raw,r0p05,0.6039603960396039,0.015272727272727273,8.464285714285715,28
diff,r0p05,0.6039603960396039,0.03345454545454545,8.785714285714285,28
diff2,r0p05,0.693069306930693,0.12581818181818183,10.178571428571429,28
union,r0p05,0.7326732673267327,0.13163636363636363,10.178571428571429,28
Time-MoE,r0p05,0.39603960396039606,0.010181818181818183,7.428571428571429,21
Sundial,r0p05,0.33663366336633666,0.004363636363636364,7.764705882352942,17
CNNLSTM,r0p05,0.0594059405940594,0.0,5.25,4
DiPCALSTM,r0p05,0.07920792079207921,0.0007272727272727272,4.5,6
LSTMGRU,r0p05,0.009900990099009901,0.0,3.0,1
STAConvBiLSTM,r0p05,0.36633663366336633,0.02909090909090909,8.333333333333332,18
TCNTransformer,r0p05,0.18811881188118812,0.008,5.5,12
raw,r0p1,0.6336633663366337,0.01309090909090909,8.892857142857142,28
diff,r0p1,0.6435643564356436,0.02690909090909091,9.214285714285715,28
diff2,r0p1,0.7128712871287128,0.10618181818181818,10.285714285714285,28
union,r0p1,0.7821782178217822,0.11345454545454546,10.714285714285715,28
Time-MoE,r0p1,0.39603960396039606,0.010181818181818183,7.428571428571429,21
Sundial,r0p1,0.33663366336633666,0.004363636363636364,7.764705882352942,17
CNNLSTM,r0p1,0.039603960396039604,0.0,6.0,3
DiPCALSTM,r0p1,0.07920792079207921,0.0007272727272727272,4.800000000000001,5
LSTMGRU,r0p1,0.04950495049504951,0.0,4.5,4
STAConvBiLSTM,r0p1,0.45544554455445546,0.04,9.5,18
TCNTransformer,r0p1,0.38613861386138615,0.012363636363636363,6.88235294117647,17
raw,r0p25,0.5841584158415841,0.016,8.464285714285715,28
diff,r0p25,0.6336633663366337,0.02327272727272727,9.11111111111111,27
diff2,r0p25,0.7227722772277227,0.08363636363636363,10.392857142857142,28
union,r0p25,0.7821782178217822,0.088,10.607142857142858,28
Time-MoE,r0p25,0.39603960396039606,0.010181818181818183,7.428571428571429,21
Sundial,r0p25,0.33663366336633666,0.004363636363636364,7.764705882352942,17
CNNLSTM,r0p25,0.06930693069306931,0.0007272727272727272,4.0,6
DiPCALSTM,r0p25,0.09900990099009901,0.0007272727272727272,5.0,6
LSTMGRU,r0p25,0.06930693069306931,0.0,5.0,6
STAConvBiLSTM,r0p25,0.45544554455445546,0.012363636363636363,7.4399999999999995,25
TCNTransformer,r0p25,0.49504950495049505,0.010181818181818183,7.173913043478261,23
raw,r0p5,0.6435643564356436,0.02109090909090909,8.892857142857142,28
diff,r0p5,0.6336633663366337,0.01309090909090909,9.346153846153847,26
diff2,r0p5,0.6831683168316832,0.07927272727272727,9.923076923076923,26
union,r0p5,0.7623762376237624,0.08072727272727273,10.666666666666666,27
Time-MoE,r0p5,0.39603960396039606,0.010181818181818183,7.428571428571429,21
Sundial,r0p5,0.33663366336633666,0.004363636363636364,7.764705882352942,17
CNNLSTM,r0p5,0.0891089108910891,0.0,4.5,6
DiPCALSTM,r0p5,0.15841584158415842,0.002909090909090909,6.857142857142857,7
LSTMGRU,r0p5,0.04950495049504951,0.0007272727272727272,5.25,4
STAConvBiLSTM,r0p5,0.5148514851485149,0.013818181818181818,8.16,25
TCNTransformer,r0p5,0.44554455445544555,0.010181818181818183,7.25,24
raw,r1p0,0.693069306930693,0.020363636363636365,9.321428571428571,28
diff,r1p0,0.6732673267326733,0.016727272727272726,9.777777777777777,27
diff2,r1p0,0.7128712871287128,0.07490909090909091,9.857142857142858,28
union,r1p0,0.7920792079207921,0.08072727272727273,10.607142857142858,28
Time-MoE,r1p0,0.39603960396039606,0.010181818181818183,7.428571428571429,21
Sundial,r1p0,0.33663366336633666,0.004363636363636364,7.764705882352942,17
CNNLSTM,r1p0,0.1188118811881188,0.002909090909090909,7.5,6
DiPCALSTM,r1p0,0.09900990099009901,0.0,4.714285714285714,7
LSTMGRU,r1p0,0.0594059405940594,0.0,6.428571428571429,7
STAConvBiLSTM,r1p0,0.5346534653465347,0.013818181818181818,8.222222222222223,27
TCNTransformer,r1p0,0.44554455445544555,0.029818181818181817,7.800000000000001,20
