mdl,rt,C,recall,FAR,lead_min,n_events_anticipated
raw,r0p01,10,0.44554455445544555,0.01090909090909091,8.08695652173913,23
raw,r0p01,15,0.3684210526315789,0.007668711656441718,7.5,14
raw,r0p01,20,0.37037037037037035,0.006349206349206349,8.100000000000001,10
raw,r0p01,25,0.35714285714285715,0.004885993485342019,8.571428571428571,7
raw,r0p01,30,0.375,0.0025041736227045075,8.571428571428571,7
diff,r0p01,10,0.6534653465346535,0.03345454545454545,9.964285714285715,28
diff,r0p01,15,0.6447368421052632,0.029141104294478526,10.333333333333334,18
diff,r0p01,20,0.6296296296296297,0.023809523809523808,10.384615384615385,13
diff,r0p01,25,0.6190476190476191,0.021986970684039087,10.2,10
diff,r0p01,30,0.625,0.020868113522537562,11.0,9
diff2,r0p01,10,0.6435643564356436,0.15854545454545454,10.071428571428571,28
diff2,r0p01,15,0.618421052631579,0.1579754601226994,10.666666666666666,18
diff2,r0p01,20,0.5555555555555556,0.15555555555555556,10.615384615384615,13
diff2,r0p01,25,0.5714285714285714,0.15472312703583063,11.100000000000001,10
diff2,r0p01,30,0.575,0.15358931552587646,12.0,9
union,r0p01,10,0.7227722772277227,0.16290909090909092,10.821428571428571,28
union,r0p01,15,0.7105263157894737,0.16180981595092025,11.166666666666668,18
union,r0p01,20,0.6851851851851852,0.15793650793650793,11.307692307692307,13
union,r0p01,25,0.6904761904761905,0.15716612377850162,11.399999999999999,10
union,r0p01,30,0.7,0.15609348914858096,12.333333333333332,9
Time-MoE,r0p01,10,0.39603960396039606,0.010181818181818183,7.428571428571429,21
Time-MoE,r0p01,15,0.3815789473684211,0.006901840490797546,7.153846153846153,13
Time-MoE,r0p01,20,0.3333333333333333,0.0031746031746031746,7.5,8
Time-MoE,r0p01,25,0.30952380952380953,0.0024429967426710096,7.800000000000001,5
Time-MoE,r0p01,30,0.3,0.001669449081803005,9.0,4
Sundial,r0p01,10,0.33663366336633666,0.004363636363636364,7.764705882352942,17
Sundial,r0p01,15,0.3157894736842105,0.0023006134969325155,7.5,10
Sundial,r0p01,20,0.24074074074074073,0.0015873015873015873,8.399999999999999,5
Sundial,r0p01,25,0.21428571428571427,0.0016286644951140066,10.0,3
Sundial,r0p01,30,0.225,0.0008347245409015025,10.0,3
CNNLSTM,r0p01,10,0.009900990099009901,0.0,3.0,1
CNNLSTM,r0p01,15,0.0,0.0,,0
CNNLSTM,r0p01,20,0.0,0.0,,0
CNNLSTM,r0p01,25,0.0,0.0,,0
CNNLSTM,r0p01,30,0.0,0.0,,0
DiPCALSTM,r0p01,10,0.04950495049504951,0.0,5.571428571428571,7
DiPCALSTM,r0p01,15,0.039473684210526314,0.0,3.0,3
DiPCALSTM,r0p01,20,0.037037037037037035,0.0,3.0,2
DiPCALSTM,r0p01,25,0.023809523809523808,0.0,3.0,1
DiPCALSTM,r0p01,30,0.025,0.0,3.0,1
LSTMGRU,r0p01,10,0.0297029702970297,0.0007272727272727272,6.0,3
LSTMGRU,r0p01,15,0.02631578947368421,0.0007668711656441718,7.5,2
LSTMGRU,r0p01,20,0.037037037037037035,0.0007936507936507937,7.5,2
LSTMGRU,r0p01,25,0.047619047619047616,0.0008143322475570033,7.5,2
LSTMGRU,r0p01,30,0.05,0.0008347245409015025,7.5,2
STAConvBiLSTM,r0p01,10,0.0297029702970297,0.0007272727272727272,6.6000000000000005,5
STAConvBiLSTM,r0p01,15,0.0,0.0007668711656441718,,0
STAConvBiLSTM,r0p01,20,0.0,0.0007936507936507937,,0
STAConvBiLSTM,r0p01,25,0.0,0.0008143322475570033,,0
STAConvBiLSTM,r0p01,30,0.0,0.0008347245409015025,,0
TCNTransformer,r0p01,10,0.04950495049504951,0.0014545454545454545,4.800000000000001,5
TCNTransformer,r0p01,15,0.05263157894736842,0.0015337423312883436,5.25,4
TCNTransformer,r0p01,20,0.07407407407407407,0.0015873015873015873,5.25,4
TCNTransformer,r0p01,25,0.07142857142857142,0.0016286644951140066,4.0,3
TCNTransformer,r0p01,30,0.05,0.001669449081803005,4.5,2
